IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIENIEŃ
RUT,KOBIETA,5
KATALEJA,KOBIETA,5
EMILIE,KOBIETA,5
ROXANA,KOBIETA,5
SALOMEA,KOBIETA,5
JASMINE,KOBIETA,5
WIERA,KOBIETA,5
INAYA,KOBIETA,4
ELISABETH,KOBIETA,4
DINA,KOBIETA,4
LIDIIA,KOBIETA,4
ELISE,KOBIETA,4
EKATERINA,KOBIETA,4
MICHAELA,KOBIETA,4
ADELIA,KOBIETA,4
ELSA,KOBIETA,4
MILANIIA,KOBIETA,4
NOELLE,KOBIETA,4
LOLITA,KOBIETA,4
BRONISŁAWA,KOBIETA,4
NOLA,KOBIETA,4
KAYLA,KOBIETA,4
EMILA,KOBIETA,4
MARCJA,KOBIETA,4
ADELAJDA,KOBIETA,4
ZARINA,KOBIETA,4
MARYNA,KOBIETA,4
ZOIA,KOBIETA,4
JÓZEFA,KOBIETA,4
TIFFANY,KOBIETA,4
SALMA,KOBIETA,4
WIKTORIIA,KOBIETA,4
VITALINA,KOBIETA,4
TEREZA,KOBIETA,4
DINARA,KOBIETA,4
ASIA,KOBIETA,4
LANA,KOBIETA,4
LARISA,KOBIETA,4
RAJA,KOBIETA,4
KESJA,KOBIETA,4
EMILIJA,KOBIETA,4
MEGAN,KOBIETA,4
ISABELLE,KOBIETA,4
RAISA,KOBIETA,4
LORENA,KOBIETA,4
AMAYA,KOBIETA,4
DOBROMIRA,KOBIETA,4
FILOMENA,KOBIETA,4
POLIANNA,KOBIETA,4
CLAUDIA,KOBIETA,4
NIKOLINA,KOBIETA,4
MELA,KOBIETA,4
TEODORA,KOBIETA,4
NAWOJA,KOBIETA,4
ŻANETA,KOBIETA,4
PETRA,KOBIETA,4
YULIANA,KOBIETA,4
EWANGELINA,KOBIETA,4
STANISLAVA,KOBIETA,4
BERNADETA,KOBIETA,4
YASMIN,KOBIETA,4
ILIANA,KOBIETA,4
AMY,KOBIETA,4
RUTA,KOBIETA,4
LIZAVETA,KOBIETA,4
MARYIA,KOBIETA,4
SOŁOMIJA,KOBIETA,4
AVA,KOBIETA,4
